Technical University of Denmark;103;15000 EUR per year
Aarhus University;147;10000 EUR per year
Vrije Universiteit Amsterdam;=236;14762 EUR per year
Alma Mater Studiorum - Univers ...;160;Not Provided
Università degli Studi di Pavia;601-650;Not Provided
Utrecht University;=121;20473 EUR per year
City, University of London;=350;Not Provided
Radboud University;=214;12645 EUR per year
Sustainability Management School;=214;12645 EUR per year
Lomonosov Moscow State University;74;5338 EUR per year
ISDI - Digital Business School;74;5338 EUR per year
ESCP Business School - Berlin;74;5338 EUR per year
Kazan (Volga region) Federal U ...;=370;Not Provided
Queen's University Belfast;209;18702 EUR per year
Universitat Politècnica de Val ...;=326;Not Provided
KU Leuven;84;Not Provided
IE School of Human Sciences &amp; ...;84;Not Provided
University of Lincoln;84;Not Provided
Fundación Universitaria San Pa ...;84;Not Provided
Wageningen University &amp; Research;=115;18700 EUR per year
University of Helsinki;104;15000 EUR per year
Bocconi University;104;15000 EUR per year
Chalmers University of Technology;=139;14551 EUR per year
Imperial College London;8;39750 EUR per year
Novosibirsk State University;=228;8891 EUR per year
University of St.Gallen (HSG);=428;Not Provided
Oxford Brookes University;=383;15855 EUR per year
The London School of Economics ...;49;24278 EUR per year
University of Amsterdam;61;15510 EUR per year
UCAM Universidad Católica San ...;61;15510 EUR per year
Swansea University;=474;21829 EUR per year
University of Stirling;=485;0 EUR per year
Leiden University;=128;18600 EUR per year
Frankfurt School of Finance &amp; ...;=128;18600 EUR per year
Complutense University of Madrid;206;5200 EUR per year
Ecole Polytechnique;=61;18450 EUR per year
IE Business School;=61;18450 EUR per year
University of Naples - Federico II;=392;160 EUR per year
KTH Royal Institute of Technology;98;14500 EUR per year
University of Bristol;58;Not Provided
Université de Paris;58;Not Provided
Lancaster University Managemen ...;58;Not Provided
EDHEC Business School;58;Not Provided
ESCP Business School - Paris;58;Not Provided
University of Economics, Prague;58;Not Provided
SOAS University of London;=346;24285 EUR per year
University of Debrecen;521-530;6224 EUR per year
Trinity College Dublin, The Un ...;=101;16868 EUR per year
University of Szeged;501-510;6000 EUR per year
Tallinn University of Technolo ...;651-700;Not Provided
Karolinska Institutet;651-700;Not Provided
SRH Berlin University of Appli ...;651-700;Not Provided
Politecnico di Milano;137;10156 EUR per year
EIT Digital Master School;137;10156 EUR per year
University College Dublin;=177;17078 EUR per year
Tilburg University;=368;14600 EUR per year
Peter the Great St. Petersburg ...;=401;Not Provided
USI - Università della Svizzer ...;=401;Not Provided
Aalborg University;=305;13486 EUR per year
Universidad Rey Juan Carlos;=305;13486 EUR per year
University of Navarra;=252;Not Provided
Cardiff University;159;Not Provided
IE University;159;Not Provided
Linköping University;=362;12008 EUR per year
National Research Nuclear Univ ...;=314;2307 EUR per year
L'Ecole de design Nantes Atlantique;=314;2307 EUR per year
John Cabot University;=314;2307 EUR per year
ISAM International School of A ...;=314;2307 EUR per year
Ludwig-Maximilians-Universität ...;63;0 EUR per year
University of Wolverhampton;63;0 EUR per year
Politecnico di Torino;=308;Not Provided
Universitat Autònoma de Barcelona;213;9000 EUR per year
RUDN University;=326;3200 EUR per year
University of Kent;=380;18088 EUR per year
Università&nbsp;di Padova;216;6900 EUR per year
National Research University M ...;216;6900 EUR per year
Lancaster University Leipzig;216;6900 EUR per year
The National University of Sci ...;=428;860 EUR per credit
ESSEC Business School;=428;860 EUR per credit
Universität Hamburg;=228;8000 EUR per year
University of Milan;=301;9800 EUR per year
Moscow State Institute of Inte ...;=348;Not Provided
UCL;10;26061 EUR per year
Heriot-Watt University;=301;18635 EUR per year
WMG - Warwick Manufacturing Group;=301;18635 EUR per year
Université Paris-Saclay;=305;4000 EUR per year
Universitat Politècnica de Cat ...;=314;Not Provided
Plekhanov Russian University o ...;751-800;Not Provided
Universidad Carlos III de Madr ...;=311;Not Provided
University of Parma;=311;Not Provided
Ural Federal University - UrFU;=331;Not Provided
Cranfield University;=331;Not Provided
Samara National Research Unive ...;=331;Not Provided
University of Sussex;=246;25123 EUR per year
The University of Manchester;=27;29455 EUR per year
Lund University;97;16995 EUR per year
University of Eastern Finland;=499;9000 EUR per year
University of the Arts London;=499;9000 EUR per year
The University of Edinburgh;20;24118 EUR per year
Atılım Üniversitesi;20;24118 EUR per year
Barcelona Graduate School of E ...;20;24118 EUR per year
University of Oxford;5;8307 EUR per year
University of Cambridge;7;29263 EUR per year
University of Glasgow;=77;5025 EUR per full
University of Groningen;=128;15500 EUR per year
Newcastle University;=152;17748 EUR per year
The University of Exeter;164;22214 EUR per year
University of Liverpool;=181;19529 EUR per year
Loughborough University;226;33943 EUR per year
National University of Ireland ...;=238;15550 EUR per year
University of Leicester;=242;10674 EUR per year
University of Surrey;=267;20098 EUR per year
University of Strathclyde;=296;Not Provided
University of Pisa;=383;356 EUR per year
Goldsmiths, University of London;=416;16480 EUR per year
University of Coimbra;431;7000 EUR per year
Université de Liège;=451;18550 EUR per year
University of Limerick;511-520;Not Provided
Coventry University;541-550;18535 EUR per year
University of Portsmouth;601-650;15967 EUR per year
University of Hull;601-650;15626 EUR per year
Lobachevsky University;601-650;13678 EUR per year
Vilnius Gediminas Technical Un ...;651-700;Not Provided
Northumbria University at Newcastle;651-700;17307 EUR per year
Sumy State University;701-750;Not Provided
University of Huddersfield;701-750;16190 EUR per year
Babes-Bolyai University;801-1000;6000 EUR per year
Vytautas Magnus University;801-1000;2952 EUR per year
University of Central Lancashire;801-1000;14739 EUR per year
University of Latvia;801-1000;3000 EUR per year
London South Bank University;801-1000;3000 EUR per year
Leeds Beckett University;801-1000;3000 EUR per year
Saint-Petersburg Mining University;801-1000;3000 EUR per year
Russian State Social University;801-1000;3000 EUR per year
National Research University o ...;801-1000;3000 EUR per year
Russian Presidential Academy o ...;801-1000;3000 EUR per year
Bournemouth University;801-1000;3000 EUR per year
National College of Ireland;801-1000;3000 EUR per year
University of Sunderland;801-1000;3000 EUR per year
Riga Technical University;801-1000;3000 EUR per year
EURECOM;801-1000;3000 EUR per year
Tomsk State University of Cont ...;801-1000;3000 EUR per year
Financial University under the ...;801-1000;3000 EUR per year
Széchenyi István University;801-1000;3000 EUR per year
Kazan National Research Techni ...;801-1000;3000 EUR per year
Universidad Europea;801-1000;3000 EUR per year
Bogomolets National Medical Un ...;801-1000;3000 EUR per year
Volgograd State University;801-1000;3000 EUR per year
Sheffield Hallam University;801-1000;3000 EUR per year
Siberian Federal University, SibFU;801-1000;3000 EUR per year
Edinburgh Napier University;801-1000;3000 EUR per year
Novosibirsk State Technical Un ...;801-1000;3000 EUR per year
University of Belgrade;N/A;2000 EUR per year
Université Diderot Paris 7;N/A;2000 EUR per year
Université Paris Descartes;N/A;2000 EUR per year
Université Paris-Dauphine, Uni ...;N/A;2000 EUR per year
University of Tampere;N/A;2000 EUR per year
Université Montpellier 2 Scien ...;N/A;2000 EUR per year
Université de Cergy-Pontoise;N/A;2000 EUR per year
Ecole normale supérieure, Paris;N/A;2000 EUR per year
Vasyl` Stus Donetsk National U ...;N/A;2000 EUR per year
Université Pierre et Marie Cur ...;N/A;2000 EUR per year
Tampere University of Technology ;N/A;2000 EUR per year
Alexandru Ioan Cuza University;N/A;2000 EUR per year
Université Charles-de-Gaulle L ...;N/A;2000 EUR per year
ETH Zurich - Swiss Federal Ins ...;6;Not Provided
EPFL;14;15000 EUR per year
King's College London;=31;10886 EUR per year
Technical University of Munich;50;0 EUR per year
Delft University of Technology;57;18750 EUR per year
The University of Warwick;62;21240 EUR per year
University of Zurich;=69;1196 EUR per year
Durham University;86;21494 EUR per full
University of Birmingham;87;32252 EUR per year
University of Southampton;90;9658 EUR per year
University of Leeds;91;18000 EUR per year
The University of Sheffield;=93;8932 EUR per year
University of St Andrews;96;21661 EUR per year
University of Nottingham;99;14772 EUR per year
University of Geneva;=106;860 EUR per year
University of Oslo;113;0 EUR per year
University of Bern;114;897 EUR per year
Queen Mary University of London;114;Not Provided
Humboldt-Universität zu Berlin;117;Not Provided
Eindhoven University of Technology;120;16200 EUR per year
Uppsala University;=124;Not Provided
Aalto University;127;15000 EUR per year
Freie Universitaet Berlin;130;Not Provided
KIT, Karlsruhe Institute of Te ...;131;Not Provided
Ghent University;=135;5624 EUR per year
Lancaster University;=135;5248 EUR per year
RWTH Aachen University;145;24000 EUR per year
Technische Universität Berlin ...;148;10995 EUR per year
University of Basel;149;1544 EUR per year
University of Vienna;=150;1452 EUR per year
École Normale Supérieure de Lyon;161;256 EUR per year
University of Lausanne;=169;897 EUR per year
Sapienza University of Rome;171;2924 EUR per year
Technische Universität Dresden;=173;Not Provided
University of Bath;=173;15297 EUR per year
Eberhard Karls Universität Tüb ...;=175;Not Provided
Albert-Ludwigs-Universitaet Fr ...;=175;Not Provided
Stockholm University;=181;19218 EUR per year
Universitat de Barcelona;183;8904 EUR per year
Université catholique de Louva ...;=189;Not Provided
Vienna University of Technology;=191;1452 EUR per year
University of Bergen;194;Not Provided
University of Twente;=197;15750 EUR per year
Universidad Autónoma de Madrid;=200;Not Provided
Vrije Universiteit Brussel (VUB);=200;3243 EUR per year
University of Gothenburg;202;22447 EUR per year
University of Reading;205;609 EUR per credit
University of Aberdeen;207;10049 EUR per year
University of Antwerp;223;2890 EUR per year
Saint Petersburg State University;225;4321 EUR per year
Maastricht University ;=234;8500 EUR per year
Rheinische Friedrich-Wilhelms- ...;=240;Not Provided
Universite libre de Bruxelles;=250;Not Provided
Tomsk State University;=250;4126 EUR per year
Charles University;=260;6000 EUR per year
Universität Innsbruck;=265;Not Provided
Technical University of Darmstadt;=267;4000 EUR per year
Moscow Institute of Physics an ...;281;5969 EUR per year
University of Cologne;=282;26500 EUR per year
Bauman Moscow State Technical ...;=282;8000 EUR per year
University of Tartu;285;4000 EUR per year
University College Cork;286;6500 EUR per year
Université Paris 1 Panthéon-So ...;=287;Not Provided
Universitat Pompeu Fabra;=287;Not Provided
University of Turku;=287;12000 EUR per year
ENS Paris-Saclay;=291;Not Provided
HSE University (National Resea ...;=298;Not Provided
